Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
105,Jason Walton,1082,568,19:23 - s,200,170 reps - s,20,19:50 - s,142,238 reps - s,152,9:10 - s
105,Craig Schenck,1082,124,16:12 - s,116,180 reps - s,336,131 reps - s,278,219 reps - s,228,9:37 - s
107,David Moret,1083,121,16:10 - s,94,185 reps - s,445,117 reps - s,156,236 reps - s,267,9:54 - s
108,Malek Brouri,1088,199,17:02 - s,137,175 reps - s,410,119 reps - s,227,224 reps - s,115,8:50 - s
109,Jonathon Horton,1090,172,16:44 - s,147,174 reps - s,161,166 reps - s,486,204 reps - s,124,8:54 - s
110,Matthew Austin,1106,238,17:24 - s,16,218 reps - s,146,167 reps - s,335,213 reps - s,371,10:41 - s
110,Michael Turner,1106,285,17:44 - s,379,146 reps - s,154,166 reps - s,50,252 reps - s,238,9:42 - s
112,Michael Davila,1107,175,16:47 - s,133,175 reps - s,383,129 reps - s,251,220 reps - s,165,9:17 - s
113,Brian Overton,1108,149,16:32 - s,323,153 reps - s,141,167 reps - s,134,239 reps - s,361,10:38 - s
114,Luke Stigler,1113,801,219 reps - s,33,209 reps - s,55,23:53 - s,123,240 reps - s,101,8:41 - s
115,Jason Means,1115,64,15:22 - s,191,170 reps - s,443,117 reps - s,118,241 reps - s,299,10:10 - s
116,Dayle Cartwright,1116,553,19:19 - s,108,180 reps - s,74,203 reps - s,160,235 reps - s,221,9:36 - s
117,Rich Serapilio,1119,238,17:24 - s,59,197 reps - s,212,154 reps - s,249,220 reps - s,361,10:38 - s
118,Andrew Cox,1130,486,18:58 - s,437,142 reps - s,14,17:53 - s,19,270 reps - s,174,9:20 - s
119,John Harris,1142,585,19:28 - s,344,148 reps - s,31,22:01 - s,152,236 reps - s,30,7:48 - s
120,Matt Kuhn,1148,106,16:03 - s,200,170 reps - s,265,141 reps - s,356,211 reps - s,221,9:36 - s
121,James Ricketts,1157,252,17:30 - s,317,154 reps - s,207,154 reps - s,290,217 reps - s,91,8:35 - s
122,Petr Dibdak,1159,97,15:54 - s,86,189 reps - s,732,94 reps - s,148,237 reps - s,96,8:37 - s
123,Mike Santana,1184,74,15:35 - s,230,165 reps - s,473,107 reps - s,149,237 reps - s,258,9:50 - s
