Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
229,David De Guzman,1171,473,0,91,142 reps - s,91,130 reps - s,383,0,133,11:03 - s
230,Glenn Berg,1175,168,18:54 - s,414,0,391,0,93,212 reps - s,109,10:28 - s
230,Rob Spooner,1175,148,18:31 - s,130,136 reps - s,324,55 reps - s,214,192 reps - s,359,0
232,Tyler Bishop,1179,297,214 reps - s,136,135 reps - s,237,71 reps - s,231,188 reps - s,278,15:41 - s
233,Drew Vincent,1184,256,222 reps - s,326,83 reps - s,164,95 reps - s,203,194 reps - s,235,13:58 - s
233,Ryan Noskey,1184,198,19:26 - s,184,120 reps - s,218,82 reps - s,314,163 reps - s,270,15:30 - s
235,Justin Uden,1193,268,219 reps - s,390,78 reps - s,76,132 reps - s,290,173 reps - s,169,11:52 - s
236,Matthew Downey,1194,120,17:55 - s,169,122 reps - s,391,0,383,0,131,11:00 - s
237,Al Trottier,1200,208,19:34 - s,238,112 reps - s,102,120 reps - s,383,0,269,15:26 - s
238,Peter Murphy,1202,371,186 reps - s,288,92 reps - s,188,93 reps - s,197,195 reps - s,158,11:45 - s
239,Walter Scheepstra,1203,125,17:58 - s,187,119 reps - s,329,48 reps - s,277,176 reps - s,285,15:50 - s
240,Matt Herod,1206,386,182 reps - s,414,0,226,80 reps - s,120,206 reps - s,60,9:29 - s
241,James White,1210,208,19:34 - s,265,102 reps - s,349,46 reps - s,148,201 reps - s,240,14:11 - s
