Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
101,Zach Babcock,1007,242,16:32 - s,292,162 reps - s,61,21:58 - s,202,234 reps - s,210,9:06 - s
102,Kyle Mason,1020,172,15:49 - s,473,141 reps - s,37,19:33 - s,156,239 reps - s,182,8:52 - s
103,Gary Wood,1024,488,18:06 - s,175,175 reps - s,11,16:52 - s,200,234 reps - s,150,8:38 - s
104,Jon Ryan,1026,558,18:26 - s,136,181 reps - s,202,167 reps - s,59,254 reps - s,71,7:58 - s
105,Chad Cosens,1028,369,17:23 - s,38,214 reps - s,133,191 reps - s,388,214 reps - s,100,8:11 - s
106,Matthew Maestas,1034,506,18:12 - s,162,177 reps - s,127,191 reps - s,163,238 reps - s,76,7:59 - s
107,Brandon Dalton,1038,56,14:15 - s,95,196 reps - s,311,143 reps - s,109,245 reps - s,467,10:37 - s
108,Anthony Acevedo,1041,748,19:20 - s,209,173 reps - s,16,17:30 - s,60,254 reps - s,8,6:41 - s
109,Richard O'Dell,1045,254,16:36 - s,375,151 reps - s,88,215 reps - s,182,236 reps - s,146,8:36 - s
110,Bill Burns,1091,318,17:02 - s,218,171 reps - s,26,18:34 - s,490,208 reps - s,39,7:27 - s
111,Cody Greeb,1098,122,15:17 - s,281,164 reps - s,310,143 reps - s,280,223 reps - s,105,8:14 - s
112,Mike Gustafson,1106,106,15:03 - s,140,180 reps - s,366,141 reps - s,389,214 reps - s,105,8:14 - s
113,Scott Dearing,1108,96,14:58 - s,135,183 reps - s,318,142 reps - s,209,232 reps - s,350,9:57 - s
114,Kyle Toms,1110,32,13:37 - s,880,118 reps - s,49,21:09 - s,79,251 reps - s,70,7:57 - s
115,Martin Howell,1111,47,14:08 - s,269,166 reps - s,265,154 reps - s,386,214 reps - s,144,8:34 - s
116,Nathan Hutton,1119,341,17:16 - s,393,147 reps - s,101,203 reps - s,119,244 reps - s,165,8:45 - s
117,John Kell,1120,264,16:42 - s,156,178 reps - s,272,154 reps - s,158,238 reps - s,270,9:29 - s
118,Charlie Lutz,1128,146,15:35 - s,222,171 reps - s,329,142 reps - s,81,250 reps - s,350,9:57 - s
119,Kurt Miller,1129,146,15:35 - s,180,175 reps - s,301,143 reps - s,280,223 reps - s,222,9:10 - s
120,Christian Rano,1133,165,15:46 - s,325,158 reps - s,353,141 reps - s,68,252 reps - s,222,9:10 - s
121,Jeremy Jacobson,1140,369,17:23 - s,219,171 reps - s,150,191 reps - s,231,230 reps - s,171,8:47 - s
122,Kelby Hopkins,1146,264,16:42 - s,160,177 reps - s,518,119 reps - s,137,241 reps - s,67,7:51 - s
123,Luke Miller,1156,219,16:22 - s,171,176 reps - s,300,144 reps - s,291,222 reps - s,175,8:49 - s
124,Andrew Buffenbarger,1162,139,15:29 - s,43,211 reps - s,936,92 reps - s,7,285 reps - s,37,7:26 - s
125,Chad Harcus,1198,152,15:37 - s,129,187 reps - s,278,154 reps - s,93,247 reps - s,546,11:03 - s
126,Nate Cleveringa,1207,167,15:47 - s,161,177 reps - s,184,178 reps - s,208,232 reps - s,487,10:47 - s
127,Peter Dennis,1220,299,16:56 - s,329,157 reps - s,67,22:14 - s,472,210 reps - s,53,7:41 - s
128,David McKeag,1221,596,18:36 - s,386,149 reps - s,27,18:44 - s,99,247 reps - s,113,8:20 - s
129,Jason Murray,1222,260,16:41 - s,69,204 reps - s,453,130 reps - s,198,235 reps - s,242,9:19 - s
130,Mike Hanks,1223,152,15:37 - s,95,196 reps - s,306,143 reps - s,482,209 reps - s,188,8:54 - s
131,Jason Gerard,1230,398,17:34 - s,131,185 reps - s,168,178 reps - s,179,236 reps - s,354,9:58 - s
132,Mike Timm,1234,169,15:48 - s,372,151 reps - s,488,129 reps - s,55,256 reps - s,150,8:38 - s
133,Michael Horst,1237,228,16:26 - s,392,148 reps - s,129,191 reps - s,402,213 reps - s,86,8:03 - s
134,Sean Erickson,1255,188,15:58 - s,173,175 reps - s,144,191 reps - s,362,216 reps - s,388,10:11 - s
135,Chris Crosby,1258,288,16:51 - s,738,125 reps - s,10,16:51 - s,120,244 reps - s,102,8:13 - s
136,Carson Cunningham,1262,433,17:49 - s,117,190 reps - s,222,166 reps - s,243,228 reps - s,247,9:21 - s
137,Greg Kosch,1281,299,16:56 - s,256,168 reps - s,153,191 reps - s,356,216 reps - s,217,9:09 - s
138,Kyle Krueger,1283,128,15:22 - s,231,170 reps - s,537,118 reps - s,188,235 reps - s,199,9:01 - s
139,Frank Lawrence,1290,717,19:12 - s,157,178 reps - s,259,154 reps - s,98,247 reps - s,59,7:43 - s
140,Chance Barlow,1298,380,17:28 - s,483,141 reps - s,179,178 reps - s,46,258 reps - s,210,9:06 - s
141,Richard Soper,1306,79,14:46 - s,50,209 reps - s,464,130 reps - s,260,225 reps - s,453,10:32 - s
142,Steve Turner,1315,242,16:32 - s,237,170 reps - s,213,167 reps - s,503,208 reps - s,120,8:24 - s
143,Tom Carlucci,1326,252,16:35 - s,431,144 reps - s,264,154 reps - s,117,244 reps - s,262,9:27 - s
144,Artur Kowalski,1327,225,16:24 - s,229,170 reps - s,522,119 reps - s,138,241 reps - s,213,9:07 - s
145,Mitch Smith,1338,136,15:28 - s,237,170 reps - s,611,107 reps - s,71,252 reps - s,283,9:36 - s
146,Chad Lee,1342,145,15:33 - s,772,123 reps - s,351,141 reps - s,50,257 reps - s,24,7:08 - s
146,Ed O'Ryan,1342,875,19:54 - s,232,170 reps - s,58,21:32 - s,66,252 reps - s,111,8:18 - s
148,David Cohen,1343,11,12:49 - s,40,213 reps - s,856,95 reps - s,331,219 reps - s,105,8:14 - s
149,Dustin Dennison,1347,589,18:35 - s,174,175 reps - s,118,191 reps - s,288,222 reps - s,178,8:50 - s
150,Andrew Cornett,1353,744,19:19 - s,106,193 reps - s,42,19:58 - s,367,215 reps - s,94,8:08 - s
151,Steve Daugherty,1354,167,15:47 - s,368,152 reps - s,102,203 reps - s,421,212 reps - s,296,9:39 - s
152,Paul McClain,1358,155,15:38 - s,348,154 reps - s,377,140 reps - s,353,217 reps - s,125,8:27 - s
153,Bill Garrison,1367,406,17:37 - s,379,150 reps - s,316,142 reps - s,53,257 reps - s,213,9:07 - s
154,Bryan Finochiaro,1380,91,14:55 - s,214,172 reps - s,754,104 reps - s,164,238 reps - s,157,8:40 - s
155,Mike Flander,1390,415,17:41 - s,361,153 reps - s,35,19:30 - s,325,219 reps - s,254,9:24 - s
156,John Berger,1402,211,16:19 - s,258,168 reps - s,558,117 reps - s,75,251 reps - s,300,9:40 - s
157,Tanner Hull,1405,788,19:30 - s,337,156 reps - s,62,21:59 - s,154,239 reps - s,64,7:49 - s
158,Michael Ishmael,1412,488,18:06 - s,119,189 reps - s,450,130 reps - s,180,236 reps - s,175,8:49 - s
159,Paul DePauw,1433,43,14:02 - s,316,160 reps - s,520,119 reps - s,372,215 reps - s,182,8:52 - s
160,Brandon Helt,1440,34,13:39 - s,53,209 reps - s,756,104 reps - s,168,237 reps - s,429,10:25 - s
161,Matthew Jasper,1443,282,16:48 - s,122,189 reps - s,481,130 reps - s,301,221 reps - s,257,9:26 - s
162,Jamil Buie,1457,678,19:00 - s,187,175 reps - s,129,191 reps - s,263,225 reps - s,200,9:02 - s
163,Kevin Humiston,1466,225,16:24 - s,373,151 reps - s,342,142 reps - s,90,248 reps - s,436,10:27 - s
164,Mike Lenning,1472,571,18:31 - s,168,176 reps - s,284,154 reps - s,133,242 reps - s,316,9:46 - s
165,Jose DeLaTorre,1473,229,16:27 - s,706,127 reps - s,161,179 reps - s,155,239 reps - s,222,9:10 - s
166,Kent Diekemper,1490,21,13:22 - s,27,219 reps - s,38,19:47 - s,44,261 reps - s,1360,0
167,Jared Muse,1492,4,11:52 - s,4,247 reps - s,1452,44 reps - s,27,268 reps - s,5,6:20 - s
168,Eric Hall,1497,270,16:43 - s,220,171 reps - s,340,142 reps - s,357,216 reps - s,310,9:44 - s
169,Doug Post,1507,139,15:29 - s,856,119 reps - s,242,156 reps - s,101,246 reps - s,169,8:46 - s
170,Matt Wuest,1516,386,17:30 - s,165,177 reps - s,725,105 reps - s,110,245 reps - s,130,8:29 - s
170,Bud Erickson,1516,575,18:32 - s,222,171 reps - s,218,166 reps - s,132,242 reps - s,369,10:04 - s
172,Nathan Allison,1527,536,18:22 - s,99,196 reps - s,611,107 reps - s,176,237 reps - s,105,8:14 - s
173,Chris Ensley,1529,628,18:46 - s,142,180 reps - s,378,140 reps - s,271,224 reps - s,110,8:16 - s
174,Steve Sinclair,1533,93,14:56 - s,144,180 reps - s,877,94 reps - s,54,256 reps - s,365,10:02 - s
175,Matt McDonald,1538,433,17:49 - s,153,179 reps - s,224,166 reps - s,461,211 reps - s,267,9:28 - s
176,Tony Monroe,1552,314,17:01 - s,447,143 reps - s,395,134 reps - s,295,221 reps - s,101,8:12 - s
177,Johnnie Clift,1553,7,12:25 - s,21,222 reps - s,59,21:42 - s,1445,0,21,7:06 - s
178,James Royce,1555,333,17:12 - s,186,175 reps - s,563,117 reps - s,218,231 reps - s,255,9:25 - s
179,Damon Branon,1559,188,15:58 - s,318,160 reps - s,91,215 reps - s,565,205 reps - s,397,10:13 - s
180,Dave King,1567,375,17:25 - s,197,174 reps - s,279,154 reps - s,416,213 reps - s,300,9:40 - s
181,Robert Bott,1570,482,18:04 - s,517,140 reps - s,94,215 reps - s,340,218 reps - s,137,8:32 - s
182,Paul Beneux,1574,260,16:41 - s,416,146 reps - s,193,168 reps - s,344,217 reps - s,361,10:00 - s
183,Joe Kohlrus,1576,566,18:29 - s,322,159 reps - s,120,191 reps - s,258,225 reps - s,310,9:44 - s
184,David Freeman,1577,236,16:30 - s,453,143 reps - s,276,154 reps - s,276,223 reps - s,336,9:53 - s
185,Ivan Rodriguez,1583,723,19:13 - s,503,141 reps - s,33,19:27 - s,159,238 reps - s,165,8:45 - s
186,Scott Robinson,1584,197,16:08 - s,134,184 reps - s,977,83 reps - s,195,235 reps - s,81,8:01 - s
187,Nate Lyons,1592,803,19:36 - s,167,176 reps - s,76,23:04 - s,271,224 reps - s,275,9:31 - s
188,Greg Jones,1593,320,17:03 - s,306,162 reps - s,35,19:30 - s,675,200 reps - s,257,9:26 - s
189,Jesse Blau,1598,482,18:04 - s,426,145 reps - s,332,142 reps - s,275,223 reps - s,83,8:02 - s
190,Joe Simpson,1601,890,19:57 - s,61,206 reps - s,117,191 reps - s,422,212 reps - s,111,8:18 - s
190,Thomas Whitworth,1601,264,16:42 - s,183,175 reps - s,267,154 reps - s,123,243 reps - s,764,12:18 - s
192,Jacob Beranek,1604,302,16:57 - s,402,146 reps - s,302,143 reps - s,441,212 reps - s,157,8:40 - s
193,Chad Sanford,1605,282,16:48 - s,203,173 reps - s,382,139 reps - s,377,215 reps - s,361,10:00 - s
194,Matt Fultz,1629,547,18:23 - s,262,167 reps - s,217,166 reps - s,478,210 reps - s,125,8:27 - s
194,John Bohanan,1629,246,16:33 - s,398,146 reps - s,451,130 reps - s,257,225 reps - s,277,9:32 - s
196,Jeremy Ellis,1631,255,16:37 - s,933,116 reps - s,214,166 reps - s,142,240 reps - s,87,8:04 - s
197,Brandon Diekemper,1632,445,17:54 - s,301,162 reps - s,303,143 reps - s,321,220 reps - s,262,9:27 - s
198,Aaron Rickelman,1633,210,16:18 - s,1007,113 reps - s,282,154 reps - s,47,258 reps - s,87,8:04 - s
199,Tim Arndt,1644,165,15:46 - s,194,174 reps - s,974,84 reps - s,174,237 reps - s,137,8:32 - s
200,Antonio Martinez,1651,25,13:31 - s,16,225 reps - s,30,18:56 - s,220,231 reps - s,1360,0
201,Joseph Morris,1664,776,19:27 - s,72,204 reps - s,288,154 reps - s,391,214 reps - s,137,8:32 - s
202,Brett Russell,1669,134,15:27 - s,66,205 reps - s,6,16:07 - s,103,246 reps - s,1360,0
203,Jason Eckhart,1670,259,16:40 - s,145,180 reps - s,325,142 reps - s,94,247 reps - s,847,12:55 - s
204,Michael Krempa,1672,176,15:50 - s,549,138 reps - s,166,179 reps - s,550,205 reps - s,231,9:14 - s
205,Ted Curran,1688,347,17:17 - s,415,146 reps - s,145,191 reps - s,337,218 reps - s,444,10:30 - s
206,Brian Lary,1696,296,16:55 - s,342,155 reps - s,78,23:11 - s,601,203 reps - s,379,10:08 - s
207,Kevin Montroy,1707,567,18:30 - s,211,172 reps - s,487,129 reps - s,73,251 reps - s,369,10:04 - s
208,Jesse Gislason,1708,113,15:11 - s,84,199 reps - s,707,105 reps - s,418,212 reps - s,386,10:10 - s
209,Daramorah Hill,1719,180,15:52 - s,111,192 reps - s,12,17:02 - s,56,255 reps - s,1360,0
210,David Underwood,1724,610,18:40 - s,101,196 reps - s,206,167 reps - s,293,221 reps - s,514,10:53 - s
211,John Jung,1734,738,19:17 - s,450,143 reps - s,43,19:59 - s,341,218 reps - s,162,8:44 - s
212,Nickolas Frere,1741,215,16:21 - s,166,176 reps - s,759,104 reps - s,287,222 reps - s,314,9:45 - s
213,Marcus Paulus,1757,664,18:56 - s,479,141 reps - s,97,204 reps - s,396,214 reps - s,121,8:25 - s
214,Kevin Emery,1760,369,17:23 - s,273,165 reps - s,427,131 reps - s,148,240 reps - s,543,11:02 - s
215,Doug Frederick,1766,524,18:18 - s,410,146 reps - s,584,108 reps - s,127,243 reps - s,121,8:25 - s
215,Mike Messina,1766,518,18:16 - s,627,135 reps - s,274,154 reps - s,224,230 reps - s,123,8:26 - s
217,Kevin Inmon,1767,234,16:29 - s,424,145 reps - s,641,106 reps - s,336,218 reps - s,132,8:30 - s
218,Stephen Williams,1770,358,17:19 - s,340,156 reps - s,56,21:28 - s,823,195 reps - s,193,8:55 - s
219,Rob Coe,1784,85,14:49 - s,1285,88 reps - s,82,23:45 - s,219,231 reps - s,113,8:20 - s
220,Kyle Racina,1785,132,15:26 - s,346,154 reps - s,869,94 reps - s,122,243 reps - s,316,9:46 - s
221,James P. Narbone,1802,671,18:58 - s,354,154 reps - s,172,178 reps - s,88,248 reps - s,517,10:55 - s
222,Mike Damenti,1810,60,14:19 - s,128,187 reps - s,241,156 reps - s,21,275 reps - s,1360,0
223,Tim Moran,1833,560,18:27 - s,344,155 reps - s,481,130 reps - s,124,243 reps - s,324,9:49 - s
224,Jason Zoch,1838,443,17:53 - s,226,171 reps - s,725,105 reps - s,213,232 reps - s,231,9:14 - s
225,Craig Okenfuss,1840,664,18:56 - s,864,119 reps - s,21,17:54 - s,74,251 reps - s,217,9:09 - s
225,Eric Tabor,1840,974,220 reps - s,213,172 reps - s,140,191 reps - s,460,211 reps - s,53,7:41 - s
227,Scott Charles,1859,439,17:51 - s,184,175 reps - s,394,135 reps - s,492,208 reps - s,350,9:57 - s
228,Scott Hoppe,1860,322,17:04 - s,125,187 reps - s,665,106 reps - s,505,207 reps - s,243,9:20 - s
229,Aaron Gray,1869,740,19:18 - s,635,134 reps - s,22,18:05 - s,238,229 reps - s,234,9:15 - s
230,Michael Harstad,1872,367,17:22 - s,190,175 reps - s,485,129 reps - s,581,204 reps - s,249,9:22 - s
231,Chad Vesper,1878,187,15:57 - s,572,137 reps - s,547,118 reps - s,520,207 reps - s,52,7:39 - s
232,Jim Clementi,1915,708,19:09 - s,309,162 reps - s,420,132 reps - s,252,226 reps - s,226,9:12 - s
233,Ryan Theobald,1919,108,15:08 - s,28,219 reps - s,104,203 reps - s,1445,0,234,9:15 - s
234,Dj Keleher,1924,684,19:01 - s,570,137 reps - s,24,18:08 - s,420,212 reps - s,226,9:12 - s
235,Phillip Detlefsen,1927,240,16:31 - s,439,144 reps - s,92,215 reps - s,696,199 reps - s,460,10:34 - s
236,John Ziegler,1928,52,14:11 - s,1664,0,65,22:12 - s,97,247 reps - s,50,7:36 - s
237,Brad Copeland,1953,172,15:49 - s,284,163 reps - s,363,141 reps - s,313,220 reps - s,821,12:42 - s
