Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
107,Daniel Chevalier,815,52,15:21 - s,242,133 reps - s,162,129 reps - s,229,206 reps - s,130,9:50 - s
109,Jamie McGloin,821,100,16:26 - s,126,156 reps - s,212,107 reps - s,143,215 reps - s,240,11:10 - s
110,Chris Hart,825,211,17:59 - s,86,170 reps - s,147,130 reps - s,139,215 reps - s,242,11:11 - s
111,Stphane Gauthier,838,529,212 reps - s,10,209 reps - s,63,154 reps - s,195,208 reps - s,41,8:25 - s
111,Franco Francescangeli,838,141,16:57 - s,27,197 reps - s,511,60 reps - s,67,237 reps - s,92,9:20 - s
113,Patrick Mayer,840,43,15:06 - s,333,121 reps - s,204,109 reps - s,115,220 reps - s,145,9:59 - s
114,Paul Shore,859,80,16:00 - s,347,119 reps - s,110,141 reps - s,175,210 reps - s,147,10:00 - s
115,Robin Nolleau,860,24,14:28 - s,40,180 reps - s,686,0,82,232 reps - s,28,8:04 - s
116,Martin Joncas,866,272,18:43 - s,83,170 reps - s,96,142 reps - s,74,234 reps - s,341,12:31 - s
117,Karl Turgeon,892,349,19:32 - s,257,128 reps - s,14,23:15 - s,105,223 reps - s,167,10:19 - s
118,Eric Paquet,906,155,17:07 - s,131,154 reps - s,191,118 reps - s,228,206 reps - s,201,10:40 - s
119,Max Lampron,917,26,14:30 - s,223,136 reps - s,329,94 reps - s,70,236 reps - s,269,11:26 - s
120,Christian Ouellette,925,337,19:24 - s,143,148 reps - s,159,129 reps - s,108,223 reps - s,178,10:25 - s
121,Dominic Prigent,926,256,18:32 - s,138,149 reps - s,194,117 reps - s,77,234 reps - s,261,11:22 - s
122,Pierre Blais,931,147,17:00 - s,130,154 reps - s,315,95 reps - s,133,217 reps - s,206,10:44 - s
123,Sylvain Bergeron,942,22,14:25 - s,184,141 reps - s,579,55 reps - s,124,219 reps - s,33,8:15 - s
124,Mike Salverda,944,84,16:12 - s,117,162 reps - s,370,92 reps - s,48,243 reps - s,325,12:16 - s
125,Erick Gaudreau,949,131,16:49 - s,434,112 reps - s,108,141 reps - s,199,208 reps - s,77,9:06 - s
126,Daniel Barbe,957,402,19:58 - s,133,152 reps - s,185,118 reps - s,188,209 reps - s,49,8:34 - s
127,Jeff Locke,970,235,18:17 - s,302,124 reps - s,207,107 reps - s,73,234 reps - s,153,10:05 - s
128,Regis Pomerleau,978,235,18:17 - s,80,170 reps - s,294,100 reps - s,153,214 reps - s,216,10:50 - s
129,Andrew Roddick,980,15,14:08 - s,154,146 reps - s,65,154 reps - s,96,226 reps - s,650,0
130,Robert Meunier,981,133,16:51 - s,228,136 reps - s,83,143 reps - s,290,201 reps - s,247,11:13 - s
131,Elliott Pen,985,46,15:09 - s,392,115 reps - s,292,100 reps - s,110,221 reps - s,145,9:59 - s
132,Sean Murray,990,349,19:32 - s,89,170 reps - s,233,106 reps - s,144,215 reps - s,175,10:23 - s
133,Joey Herrington,991,120,16:42 - s,582,87 reps - s,59,155 reps - s,154,213 reps - s,76,9:03 - s
134,Steeve Carignan,999,339,19:25 - s,134,151 reps - s,349,93 reps - s,86,230 reps - s,91,9:19 - s
135,Will Milne,1001,230,18:13 - s,53,175 reps - s,263,105 reps - s,235,205 reps - s,220,10:53 - s
136,Andrew Saarimaki,1003,183,17:32 - s,301,124 reps - s,94,142 reps - s,97,226 reps - s,328,12:18 - s
137,Gilbert Paquette,1006,254,18:30 - s,272,127 reps - s,31,191 reps - s,174,210 reps - s,275,11:28 - s
138,Garth Lauer,1010,294,18:59 - s,286,125 reps - s,170,126 reps - s,196,208 reps - s,64,8:50 - s
139,Marco Simone,1013,159,17:10 - s,160,144 reps - s,457,69 reps - s,102,224 reps - s,135,9:55 - s
140,Wil Urosevic,1020,391,19:53 - s,151,146 reps - s,200,117 reps - s,253,204 reps - s,25,7:59 - s
