Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
122,Juan Aguilar,1463,298,15:20 - s,630,170 reps - s,432,154 reps - s,59,265 reps - s,44,7:06 - s
123,Diego Xavier,1475,630,16:42 - s,32,227 reps - s,382,156 reps - s,233,248 reps - s,198,8:10 - s
124,Joo Paulo,1482,98,14:08 - s,26,229 reps - s,177,191 reps - s,887,215 reps - s,294,8:35 - s
125,Rodrigo Fortes,1494,814,17:15 - s,21,231 reps - s,75,21:40 - s,139,255 reps - s,445,9:10 - s
126,Ricardo Rodriguez,1497,514,16:14 - s,369,180 reps - s,241,178 reps - s,118,258 reps - s,255,8:25 - s
127,Kau Bezerra,1515,568,16:27 - s,136,205 reps - s,647,141 reps - s,80,262 reps - s,84,7:32 - s
128,Leonidas Fagundes,1522,129,14:22 - s,237,196 reps - s,121,215 reps - s,830,218 reps - s,205,8:13 - s
129,Juliano Borelli,1552,151,14:32 - s,521,174 reps - s,332,166 reps - s,279,244 reps - s,269,8:30 - s
130,Joo Victor Bahia da Silva,1578,1046,17:54 - s,186,203 reps - s,16,16:12 - s,154,253 reps - s,176,8:04 - s
131,Vinicius Dal Poggetto,1581,772,17:09 - s,102,209 reps - s,329,166 reps - s,56,266 reps - s,322,8:42 - s
132,Breno Truci,1583,148,14:31 - s,813,162 reps - s,132,203 reps - s,446,235 reps - s,44,7:06 - s
133,Alex Lima,1591,522,16:16 - s,167,204 reps - s,96,22:50 - s,254,245 reps - s,552,9:33 - s
134,Joo Pedro Lima,1593,313,15:24 - s,654,170 reps - s,289,168 reps - s,240,247 reps - s,97,7:36 - s
135,Jose Bonilla,1603,859,17:21 - s,30,227 reps - s,501,154 reps - s,147,253 reps - s,66,7:23 - s
136,Alexandre Santos,1617,117,14:15 - s,309,185 reps - s,657,141 reps - s,225,248 reps - s,309,8:39 - s
137,Adrian Granados,1626,158,14:37 - s,938,153 reps - s,421,155 reps - s,73,263 reps - s,36,6:57 - s
138,Renan Vignoli,1636,685,16:53 - s,105,209 reps - s,414,155 reps - s,382,238 reps - s,50,7:10 - s
139,Josse Castillo,1640,133,14:24 - s,370,180 reps - s,518,143 reps - s,522,231 reps - s,97,7:36 - s
140,Gilberto Alencar,1664,396,15:48 - s,487,175 reps - s,97,23:00 - s,462,234 reps - s,222,8:18 - s
141,Rafael Padro,1668,715,16:59 - s,293,188 reps - s,46,19:29 - s,244,247 reps - s,370,8:54 - s
142,Anderson Cogo,1694,1007,17:46 - s,329,182 reps - s,62,20:43 - s,155,253 reps - s,141,7:54 - s
143,Homero Medeiros,1700,313,15:24 - s,590,170 reps - s,196,191 reps - s,332,240 reps - s,269,8:30 - s
144,Marco De Santiago,1705,866,17:23 - s,328,182 reps - s,62,20:43 - s,315,241 reps - s,134,7:51 - s
145,Patrick Ishikawa,1706,200,14:54 - s,767,162 reps - s,172,191 reps - s,500,232 reps - s,67,7:24 - s
146,Amaury Junior,1708,974,17:40 - s,387,180 reps - s,77,21:45 - s,109,259 reps - s,161,7:59 - s
147,Jackson Parolin,1709,244,15:04 - s,432,176 reps - s,93,22:37 - s,581,228 reps - s,359,8:52 - s
148,Giancarlo Fagury,1718,455,16:00 - s,71,214 reps - s,539,143 reps - s,278,244 reps - s,375,8:55 - s
149,Luis Enrique Del Valle Cordero,1722,391,15:46 - s,144,204 reps - s,17,16:38 - s,779,220 reps - s,391,8:59 - s
149,Mario Pineda,1722,181,14:46 - s,588,170 reps - s,522,143 reps - s,213,249 reps - s,218,8:17 - s
151,Tony Gutierrez,1754,551,16:23 - s,600,170 reps - s,372,163 reps - s,229,248 reps - s,2,5:53 - s
