Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
116,Park MinWoo,891,59,14:28 - s,5,263 reps - s,69,173 reps - s,21,267 reps - s,737,0
116,Martin Julian Ongchuan,891,115,15:30 - s,422,122 reps - s,108,154 reps - s,92,238 reps - s,154,9:16 - s
118,Samjin Kim,896,147,15:54 - s,130,172 reps - s,285,105 reps - s,241,207 reps - s,93,8:19 - s
119,Kim Seung jun,900,394,18:57 - s,225,153 reps - s,39,215 reps - s,107,233 reps - s,135,8:58 - s
119,Marc Geronimo,900,480,19:36 - s,144,170 reps - s,68,173 reps - s,62,248 reps - s,146,9:09 - s
121,Dohyun Kim,901,348,18:26 - s,156,170 reps - s,117,154 reps - s,205,213 reps - s,75,8:05 - s
122,Haruya Arai,924,46,14:11 - s,126,173 reps - s,519,69 reps - s,200,214 reps - s,33,6:59 - s
123,Pavel Leonov,932,300,17:59 - s,173,167 reps - s,144,141 reps - s,90,238 reps - s,225,10:10 - s
124,Hyun-myung Lee,934,286,17:52 - s,80,184 reps - s,108,154 reps - s,144,224 reps - s,316,11:26 - s
125,Romeo Gian Buenaventura,940,386,18:52 - s,149,170 reps - s,101,154 reps - s,105,234 reps - s,199,9:47 - s
126,Woongtae Jung,949,213,16:59 - s,122,173 reps - s,105,154 reps - s,374,189 reps - s,135,8:58 - s
127,Chris Oertel,959,233,17:16 - s,198,162 reps - s,290,105 reps - s,123,230 reps - s,115,8:43 - s
128,Rainier Tampus,967,460,19:27 - s,95,179 reps - s,43,203 reps - s,125,229 reps - s,244,10:24 - s
129,Bin Zhao,982,186,16:26 - s,43,206 reps - s,227,117 reps - s,366,190 reps - s,160,9:20 - s
129,Sunil Chugani,982,152,15:56 - s,64,196 reps - s,225,117 reps - s,155,221 reps - s,386,12:24 - s
131,Changming Huang,985,209,16:50 - s,121,174 reps - s,317,104 reps - s,167,220 reps - s,171,9:30 - s
132,Victor Jose Ernesto Pantangco,986,265,17:41 - s,142,171 reps - s,142,141 reps - s,276,201 reps - s,161,9:21 - s
133,Bongyeong Choi,987,345,18:25 - s,446,119 reps - s,72,168 reps - s,60,248 reps - s,64,7:46 - s
134,Zaharenko Evgeniy,1013,238,17:21 - s,275,141 reps - s,131,142 reps - s,221,210 reps - s,148,9:10 - s
135,DukJoon Kim,1014,220,17:02 - s,136,171 reps - s,416,83 reps - s,75,245 reps - s,167,9:27 - s
136,Sanghun Park,1024,128,15:37 - s,76,189 reps - s,500,70 reps - s,270,202 reps - s,50,7:24 - s
137,Soonjea Jang,1028,342,18:22 - s,227,153 reps - s,122,143 reps - s,140,225 reps - s,197,9:45 - s
138,Erlou Serrano,1039,326,18:15 - s,250,143 reps - s,34,23:30 - s,266,203 reps - s,163,9:24 - s
139,Guangyuan Luo,1055,211,16:52 - s,328,136 reps - s,193,129 reps - s,153,221 reps - s,170,9:29 - s
140,Emmanuel Sim,1059,130,15:41 - s,673,88 reps - s,213,118 reps - s,27,261 reps - s,16,6:33 - s
141,Ruben Rubio II,1064,102,15:23 - s,62,196 reps - s,518,69 reps - s,236,208 reps - s,146,9:09 - s
142,Aleksandr Tolkachev,1071,90,15:06 - s,117,174 reps - s,538,68 reps - s,110,232 reps - s,216,10:02 - s
143,Kim Hyeon Gyu,1075,44,14:09 - s,15,234 reps - s,177,130 reps - s,102,234 reps - s,737,0
144,Shane Maguire,1077,351,18:29 - s,184,164 reps - s,87,166 reps - s,318,196 reps - s,137,8:59 - s
145,Dmitry Nikitin,1080,185,16:25 - s,98,178 reps - s,247,108 reps - s,319,196 reps - s,231,10:12 - s
146,Nan Cao,1098,256,17:32 - s,257,142 reps - s,282,106 reps - s,113,232 reps - s,190,9:41 - s
147,Jeong Jun Lee,1111,97,15:17 - s,869,0,16,19:06 - s,63,248 reps - s,66,7:50 - s
148,Evgeny Puzanov,1116,440,19:20 - s,281,140 reps - s,65,175 reps - s,150,223 reps - s,180,9:33 - s
149,Sergey Endovitsky,1118,152,15:56 - s,245,144 reps - s,207,119 reps - s,167,220 reps - s,347,11:51 - s
150,Kb Kim,1119,411,19:07 - s,153,170 reps - s,187,129 reps - s,178,218 reps - s,190,9:41 - s
151,Ariya Banomyong,1122,413,19:08 - s,107,175 reps - s,238,117 reps - s,187,216 reps - s,177,9:31 - s
152,Maxim Titov,1123,508,19:44 - s,102,176 reps - s,170,130 reps - s,191,215 reps - s,152,9:15 - s
153,Grigoriy Haritonov,1148,247,17:27 - s,140,171 reps - s,158,132 reps - s,301,199 reps - s,302,11:14 - s
154,Jae Woo Park,1156,247,17:27 - s,233,150 reps - s,225,117 reps - s,285,200 reps - s,166,9:26 - s
155,Byeong Hyeok Jung,1159,112,15:29 - s,302,137 reps - s,198,120 reps - s,342,193 reps - s,205,9:54 - s
156,Seunghoon Kang,1161,368,18:40 - s,94,179 reps - s,293,105 reps - s,281,201 reps - s,125,8:51 - s
157,Sim Hyoungjin,1171,293,17:56 - s,400,123 reps - s,287,105 reps - s,130,227 reps - s,61,7:36 - s
158,Yang Liu,1173,217,17:00 - s,291,138 reps - s,264,106 reps - s,230,209 reps - s,171,9:30 - s
159,Ko Daeil,1185,174,16:17 - s,222,154 reps - s,420,82 reps - s,159,220 reps - s,210,9:58 - s
160,Kurt Aquino,1187,489,19:38 - s,151,170 reps - s,255,107 reps - s,57,249 reps - s,235,10:16 - s
161,Timothy Bruges,1194,152,15:56 - s,292,138 reps - s,527,69 reps - s,124,229 reps - s,99,8:26 - s
162,Jinmun Jung,1196,333,18:18 - s,328,136 reps - s,152,141 reps - s,113,232 reps - s,270,10:48 - s
163,Peter Fu,1197,365,18:37 - s,212,158 reps - s,241,117 reps - s,237,208 reps - s,142,9:02 - s
164,Per Bertelsen,1203,90,15:06 - s,322,136 reps - s,643,56 reps - s,19,269 reps - s,129,8:54 - s
165,Jung Wonil,1207,416,19:09 - s,385,124 reps - s,88,166 reps - s,86,240 reps - s,232,10:15 - s
166,Choi Seunghu,1215,284,17:51 - s,345,131 reps - s,231,117 reps - s,282,201 reps - s,73,8:00 - s
167,Sejin Lee,1217,93,15:14 - s,59,198 reps - s,96,156 reps - s,232,208 reps - s,737,0
168,Kim Hyun Min,1219,189,16:30 - s,304,137 reps - s,382,92 reps - s,136,226 reps - s,208,9:56 - s
169,Jaesang Yoon,1222,225,17:07 - s,288,139 reps - s,244,117 reps - s,388,186 reps - s,77,8:06 - s
170,Jan Daniel Stuchlik,1226,115,15:30 - s,869,0,7,15:18 - s,78,243 reps - s,157,9:18 - s
171,Vadim Eranakov,1228,102,15:23 - s,244,145 reps - s,325,98 reps - s,259,205 reps - s,298,11:11 - s
172,Kioh Park,1245,323,18:11 - s,348,130 reps - s,115,154 reps - s,235,208 reps - s,224,10:09 - s
173,Stanislav Kolontaev,1264,241,17:24 - s,224,153 reps - s,319,103 reps - s,206,213 reps - s,274,10:51 - s
174,Hyuntae Oh,1270,436,19:18 - s,295,138 reps - s,168,130 reps - s,288,200 reps - s,83,8:11 - s
175,Ross McKenzie,1275,282,17:50 - s,271,141 reps - s,140,141 reps - s,229,209 reps - s,353,11:54 - s
176,Youngjin Park,1279,522,19:49 - s,266,141 reps - s,59,178 reps - s,377,188 reps - s,55,7:30 - s
177,Jeong-woo Yeon,1282,349,18:28 - s,343,131 reps - s,199,120 reps - s,303,199 reps - s,88,8:14 - s
178,Ha Jeong Hwan,1283,607,216 reps - s,193,162 reps - s,122,143 reps - s,157,221 reps - s,204,9:52 - s
179,Min Hyuk Kim,1285,544,19:58 - s,317,136 reps - s,171,130 reps - s,122,230 reps - s,131,8:56 - s
180,Andrei Gorodeckii,1295,27,13:30 - s,869,0,288,105 reps - s,85,240 reps - s,26,6:47 - s
181,Zac Kang,1297,115,15:30 - s,137,171 reps - s,49,191 reps - s,806,0,190,9:41 - s
182,Taehoon An,1300,82,14:56 - s,112,175 reps - s,172,130 reps - s,197,214 reps - s,737,0
183,Chin Tuan Chuang,1311,314,18:04 - s,248,144 reps - s,195,129 reps - s,292,200 reps - s,262,10:39 - s
184,Keisuke Goto,1314,205,16:47 - s,150,170 reps - s,457,80 reps - s,167,220 reps - s,335,11:42 - s
185,Grant Macpherson,1321,759,198 reps - s,182,165 reps - s,174,130 reps - s,112,232 reps - s,94,8:20 - s
186,Jun Hyeong Park,1323,394,18:57 - s,47,204 reps - s,42,203 reps - s,103,234 reps - s,737,0
187,Wonsang Yoo,1324,351,18:29 - s,430,121 reps - s,102,154 reps - s,314,197 reps - s,127,8:53 - s
188,Dmitry Shumilov,1332,652,213 reps - s,375,126 reps - s,36,23:54 - s,98,236 reps - s,171,9:30 - s
188,Taeuk Jeon,1332,360,18:34 - s,487,116 reps - s,121,143 reps - s,177,218 reps - s,187,9:39 - s
190,Pavel Odintsov,1333,404,19:02 - s,138,171 reps - s,355,94 reps - s,242,207 reps - s,194,9:43 - s
191,Yuki Tagata,1335,333,18:18 - s,259,141 reps - s,238,117 reps - s,338,194 reps - s,167,9:27 - s
192,Seungchul Ko,1340,66,14:38 - s,166,168 reps - s,228,117 reps - s,143,225 reps - s,737,0
193,Ming Kwong Lai,1373,82,14:56 - s,185,164 reps - s,796,0,53,250 reps - s,257,10:35 - s
194,Yujin Park,1377,454,19:23 - s,141,171 reps - s,274,106 reps - s,286,200 reps - s,222,10:07 - s
195,Maxim Filatov,1384,499,19:41 - s,164,169 reps - s,328,97 reps - s,174,219 reps - s,219,10:05 - s
