Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
144,Benjamin Lockwood,1316,582,19:36 - s,178,171 reps - s,300,141 reps - s,91,244 reps - s,165,9:13 - s
145,Salvador Martinez,1319,353,18:07 - s,147,175 reps - s,591,106 reps - s,125,238 reps - s,103,8:41 - s
146,Ashley Amerson,1320,340,18:02 - s,341,146 reps - s,234,154 reps - s,268,218 reps - s,137,8:58 - s
147,Adolph Mora,1332,31,14:00 - s,60,196 reps - s,7,15:54 - s,16,275 reps - s,1218,0
148,John Bryant,1341,178,16:39 - s,147,175 reps - s,185,166 reps - s,349,210 reps - s,482,11:32 - s
149,Jared Dahmer,1362,269,17:31 - s,100,180 reps - s,544,107 reps - s,442,204 reps - s,7,6:50 - s
150,Kenny Berkheimer,1365,89,15:32 - s,44,202 reps - s,1036,68 reps - s,138,237 reps - s,58,8:07 - s
151,Andy Moore,1372,428,18:42 - s,234,163 reps - s,277,142 reps - s,333,212 reps - s,100,8:38 - s
152,Nathan Hammon,1381,635,19:48 - s,141,175 reps - s,153,178 reps - s,301,214 reps - s,151,9:08 - s
153,Carlos Ruiz,1409,46,14:31 - s,23,210 reps - s,114,191 reps - s,8,276 reps - s,1218,0
154,Jaime Castaneda,1416,233,17:10 - s,484,136 reps - s,296,142 reps - s,151,235 reps - s,252,9:47 - s
155,Derek Chambers,1423,20,13:43 - s,24,210 reps - s,1284,45 reps - s,17,275 reps - s,78,8:23 - s
156,Hunt Mayo,1437,124,16:15 - s,298,155 reps - s,513,117 reps - s,245,220 reps - s,257,9:50 - s
156,Brian Sullins,1437,269,17:31 - s,140,175 reps - s,637,105 reps - s,169,231 reps - s,222,9:36 - s
158,Benjamin Hymel,1439,466,18:56 - s,197,170 reps - s,291,142 reps - s,434,205 reps - s,51,7:58 - s
159,Kevin Barlow,1452,429,18:43 - s,254,162 reps - s,225,154 reps - s,224,223 reps - s,320,10:22 - s
160,Austen Griffin,1466,235,17:11 - s,1153,89 reps - s,42,21:43 - s,26,266 reps - s,10,6:56 - s
160,Greg Pintacuda,1466,187,16:43 - s,461,138 reps - s,126,191 reps - s,496,201 reps - s,196,9:27 - s
162,Michael Mitchell,1467,221,17:04 - s,495,136 reps - s,237,154 reps - s,351,210 reps - s,163,9:12 - s
163,Devin Wood,1474,119,16:09 - s,223,165 reps - s,501,118 reps - s,337,212 reps - s,294,10:07 - s
164,Julio Cavazos,1475,688,19:58 - s,230,163 reps - s,246,143 reps - s,134,237 reps - s,177,9:21 - s
165,Justin Scroggins,1479,17,13:32 - s,9,224 reps - s,103,191 reps - s,132,237 reps - s,1218,0
166,Abraham Cruz,1481,401,18:31 - s,412,141 reps - s,320,141 reps - s,118,240 reps - s,230,9:37 - s
167,Jeremy Self,1496,722,223 reps - s,132,176 reps - s,37,21:26 - s,419,205 reps - s,186,9:25 - s
168,Brandon Wilson,1505,695,19:59 - s,214,166 reps - s,167,168 reps - s,127,238 reps - s,302,10:13 - s
169,Ryan Catala,1507,551,19:26 - s,315,151 reps - s,107,191 reps - s,403,207 reps - s,131,8:55 - s
170,Cody Broussard,1514,441,18:47 - s,420,141 reps - s,333,139 reps - s,215,224 reps - s,105,8:42 - s
171,Randy Mott,1520,513,19:14 - s,224,164 reps - s,229,154 reps - s,321,212 reps - s,233,9:38 - s
172,Renato Rangel,1530,484,19:02 - s,187,170 reps - s,228,154 reps - s,409,206 reps - s,222,9:36 - s
173,Chris Amaya,1531,178,16:39 - s,210,168 reps - s,913,83 reps - s,108,241 reps - s,122,8:52 - s
173,Dale Garza,1531,423,18:40 - s,227,164 reps - s,509,117 reps - s,157,233 reps - s,215,9:33 - s
175,Edris Stone,1535,121,16:10 - s,750,119 reps - s,490,119 reps - s,64,249 reps - s,110,8:45 - s
176,Ben Frederick,1548,142,16:22 - s,1310,78 reps - s,54,22:43 - s,21,269 reps - s,21,7:25 - s
177,Skip Dragoo,1551,359,18:09 - s,675,123 reps - s,136,179 reps - s,220,223 reps - s,161,9:11 - s
178,Travis Link,1552,192,16:47 - s,147,175 reps - s,1121,60 reps - s,22,269 reps - s,70,8:18 - s
179,Benjamin Schenkel,1556,116,16:04 - s,351,146 reps - s,570,107 reps - s,175,231 reps - s,344,10:31 - s
180,James Fee,1561,415,18:35 - s,588,128 reps - s,261,143 reps - s,210,225 reps - s,87,8:29 - s
181,Mike McBerty,1562,607,19:41 - s,232,163 reps - s,189,166 reps - s,277,217 reps - s,257,9:50 - s
182,Jerry Leal,1567,620,19:44 - s,395,141 reps - s,227,154 reps - s,222,223 reps - s,103,8:41 - s
183,Corey Powell,1572,380,18:20 - s,441,139 reps - s,45,22:12 - s,128,238 reps - s,578,12:17 - s
184,Jake Thompson,1579,415,18:35 - s,169,172 reps - s,164,173 reps - s,577,196 reps - s,254,9:48 - s
185,Mathew Jagla,1584,32,14:05 - s,82,187 reps - s,1233,54 reps - s,102,242 reps - s,135,8:57 - s
186,Jared Davis,1588,178,16:39 - s,375,143 reps - s,471,121 reps - s,389,207 reps - s,175,9:20 - s
187,Mike Ostman,1595,106,15:55 - s,1306,79 reps - s,127,191 reps - s,47,253 reps - s,9,6:55 - s
188,Gabriel Luna,1598,299,17:47 - s,819,115 reps - s,231,154 reps - s,193,228 reps - s,56,8:04 - s
189,Tye Olson,1608,48,14:41 - s,25,209 reps - s,1390,0,60,250 reps - s,85,8:27 - s
190,Sam Larson,1622,93,15:35 - s,467,138 reps - s,504,118 reps - s,173,231 reps - s,385,10:53 - s
191,Bryce Mullinix,1628,113,16:03 - s,259,162 reps - s,799,94 reps - s,150,235 reps - s,307,10:16 - s
192,Clay Alford,1629,590,19:38 - s,596,128 reps - s,139,179 reps - s,82,245 reps - s,222,9:36 - s
193,Brent Yates,1630,311,17:50 - s,292,156 reps - s,284,142 reps - s,198,227 reps - s,545,12:01 - s
194,Samuel Chacon,1634,370,18:14 - s,272,159 reps - s,498,118 reps - s,230,221 reps - s,264,9:51 - s
195,Chris Ausmus,1636,701,20:00 - s,205,168 reps - s,322,141 reps - s,88,245 reps - s,320,10:22 - s
196,Christopher Gregg,1638,635,19:48 - s,193,170 reps - s,312,141 reps - s,276,217 reps - s,222,9:36 - s
197,Chris VonHaven,1643,557,19:29 - s,313,151 reps - s,502,118 reps - s,123,239 reps - s,148,9:06 - s
198,Jeffery Price,1645,192,16:47 - s,1311,78 reps - s,18,18:45 - s,108,241 reps - s,16,7:16 - s
199,John Bretschneider,1655,153,16:25 - s,252,162 reps - s,9,16:04 - s,23,267 reps - s,1218,0
200,Chris Rivas,1674,632,19:47 - s,372,143 reps - s,294,142 reps - s,180,230 reps - s,196,9:27 - s
201,Timothy Anes,1676,611,19:42 - s,573,130 reps - s,336,138 reps - s,89,245 reps - s,67,8:17 - s
202,Blake Manuel,1677,207,16:55 - s,629,125 reps - s,419,130 reps - s,314,213 reps - s,108,8:44 - s
203,Neil Gregerson,1678,644,19:49 - s,342,146 reps - s,63,23:31 - s,463,203 reps - s,166,9:14 - s
204,James Price,1682,117,16:06 - s,579,128 reps - s,472,121 reps - s,203,226 reps - s,311,10:17 - s
205,Ricardo Flores Jr,1685,314,17:51 - s,159,173 reps - s,792,94 reps - s,304,214 reps - s,116,8:50 - s
206,Fernando Laurel,1689,518,19:15 - s,409,141 reps - s,173,167 reps - s,182,230 reps - s,407,11:02 - s
207,Joseph Garza,1695,627,19:46 - s,286,156 reps - s,49,22:29 - s,172,231 reps - s,561,12:09 - s
208,Devon Hathaway,1699,335,18:00 - s,208,168 reps - s,562,107 reps - s,482,202 reps - s,112,8:46 - s
208,Steven Cummings,1699,140,16:21 - s,165,172 reps - s,771,95 reps - s,325,212 reps - s,298,10:11 - s
210,Ashton James,1710,78,15:21 - s,61,196 reps - s,77,204 reps - s,1337,0,157,9:10 - s
211,Alex Rendon,1714,250,17:19 - s,543,135 reps - s,252,143 reps - s,154,235 reps - s,515,11:50 - s
212,Anthony Brumit,1716,295,17:44 - s,276,158 reps - s,172,167 reps - s,428,205 reps - s,545,12:01 - s
213,Cole Lanier,1719,365,18:11 - s,237,163 reps - s,558,107 reps - s,363,209 reps - s,196,9:27 - s
214,Tyler Istre,1723,298,17:46 - s,37,205 reps - s,28,19:57 - s,1335,1 reps - s,25,7:30 - s
215,Daniel Pogue,1733,237,17:12 - s,477,137 reps - s,436,129 reps - s,269,218 reps - s,314,10:18 - s
216,Chris McFarlen,1737,398,18:30 - s,221,165 reps - s,110,191 reps - s,467,203 reps - s,541,12:00 - s
217,Jr Cordova,1756,22,13:47 - s,332,146 reps - s,112,191 reps - s,72,247 reps - s,1218,0
218,Robert Mcillece,1760,73,15:14 - s,92,182 reps - s,762,95 reps - s,233,221 reps - s,600,12:33 - s
219,Kevin Buelow,1766,593,19:39 - s,400,141 reps - s,288,142 reps - s,247,220 reps - s,238,9:40 - s
220,Mason Hyatt,1770,276,17:33 - s,431,140 reps - s,415,130 reps - s,368,209 reps - s,280,9:59 - s
221,Chris Bargas,1773,916,213 reps - s,207,168 reps - s,268,143 reps - s,160,233 reps - s,222,9:36 - s
222,Ricardo Rangel,1776,569,19:32 - s,338,146 reps - s,12,17:13 - s,656,192 reps - s,201,9:29 - s
223,Matt Griffin,1784,132,16:19 - s,274,158 reps - s,905,83 reps - s,171,231 reps - s,302,10:13 - s
